Char,ASCII,Binary,Decoded
a,97,01100001,10111
b,98,01100010,111010101
c,99,01100011,11101011101
d,100,01100100,1110101
e,101,01100101,1
f,102,01100110,101011101
g,103,01100111,111011101
h,104,01101000,1010101
i,105,01101001,101
j,106,01101010,1011101110111
k,107,01101011,111010111
l,108,01101100,101110101
m,109,01101101,1110111
n,110,01101110,11101
o,111,01101111,11101110111
p,112,01110000,10111011101
q,113,01110001,1110111010111
r,114,01110010,1011101
s,115,01110011,10101
t,116,01110100,111
u,117,01110101,1010111
v,118,01110110,101010111
w,119,01110111,101110111
x,120,01111000,11101010111
y,121,01111001,1110101110111
z,122,01111010,11101110101
0,48,00110000,1110111011101110111
1,49,00110001,10111011101110111
2,50,00110010,101011101110111
3,51,00110011,1010101110111
4,52,00110100,10101010111
5,53,00110101,101010101
6,54,00110110,11101010101
7,55,00110111,1110111010101
8,56,00111000,111011101110101
9,57,00111001,11101110111011101
space,32,00100000,0000